iter	RMSE
164	26818.19917
165	26766.94346
166	26702.98731
167	26607.89682
168	26543.1096
169	26482.82458
170	26424.24469
171	26376.10812
172	26321.22368
173	26257.88731
174	26211.09644
175	26142.20645
176	26068.39963
177	26018.04249
178	25956.28844
179	25888.89635
180	25822.78751
181	25755.72403
182	25715.31271
183	25671.67028
184	25613.3549
185	25563.60147
186	25487.331
187	25424.35426
188	25342.59143
189	25303.23373
190	25258.58843
191	25199.48395
192	25167.29867
193	25120.58112
194	25047.24242
195	24997.233
196	24964.75733
197	24932.97987
198	24894.19592
199	24827.58167
200	24776.73174
201	24733.10598
202	24676.17694
203	24627.01082
204	24572.00029
205	24518.95134
206	24465.28487
207	24419.12389
208	24369.6998
209	24323.17665
210	24277.31947
211	24268.07085
212	24219.3378
213	24193.48095
214	24143.01107
215	24113.69515
216	24065.59116
217	24015.08218
218	23971.7905
219	23925.78128
220	23878.37365
221	23845.75417
222	23787.06014
223	23745.96549
224	23705.07233
225	23647.38496
226	23608.8438
227	23565.82435
228	23522.5388
229	23490.03449
230	23466.17288
231	23431.35847
232	23403.18291
233	23366.57128
234	23346.0096
235	23321.35985
236	23282.78485
237	23250.38677
238	23217.41981
239	23183.09865
240	23151.63632
241	23119.14184
242	23098.81843
243	23070.42048
244	23032.21622
245	22989.08374
246	22957.2052
247	22921.90705
248	22872.00296
249	22839.08501
250	22790.53605
251	22765.70437
252	22746.74277
253	22717.30807
254	22684.58641
255	22646.74259
256	22620.21699
257	22608.17864
258	22569.20952
259	22523.83468
260	22495.38744
261	22463.07898
262	22436.39115
263	22408.32979
264	22368.91577
265	22351.31441
266	22306.86106
267	22259.73724
268	22240.14607
269	22237.57833
270	22196.21761
271	22179.30027
272	22143.688
273	22116.77209
274	22096.84078
275	22059.39264
276	22027.4228
277	22003.81131
278	21977.35906
279	21934.03735
280	21914.70546
281	21871.68099
282	21863.3737
283	21855.80444
284	21844.56395
285	21817.10152
286	21765.38491
287	21727.00597
288	21710.97313
289	21697.24023
290	21677.55871
291	21666.23274
292	21641.26386
293	21627.8057
294	21592.83146
295	21558.44489
296	21542.63331
297	21528.50124
298	21492.25096
299	21449.67699
300	21423.97143
301	21407.18751
302	21397.79864
303	21370.43513
304	21346.69442
305	21324.83977
306	21291.77178
307	21259.08088
308	21248.80373
309	21225.51772
310	21219.99712
311	21206.02523
312	21191.93775
313	21181.6665
314	21163.42798
315	21140.38872
316	21118.31637
317	21091.10189
318	21074.67865
319	21064.99315
320	21044.19751
321	21019.83729
322	20998.72938
323	20981.05662
324	20974.94061
325	20966.71823
326	20943.82253
327	20914.0194
328	20903.21543
329	20868.68628
330	20842.34408
331	20827.00721
332	20810.59256
333	20768.07826
334	20741.82901
335	20710.77514
336	20670.6594
337	20661.66455
338	20642.66961
339	20625.17263
340	20605.81794
341	20594.43548
342	20576.94776
343	20557.06506
344	20523.5987
345	20504.31698
346	20481.7072
347	20459.03078
348	20444.18155
349	20418.44078
350	20398.29502
351	20390.01887
352	20364.66896
353	20357.50763
354	20337.66531
355	20334.41392
356	20308.63557
357	20303.13953
358	20294.55077
359	20290.42138
360	20281.66578
361	20253.21665
362	20245.46015
363	20220.43199
364	20197.42768
365	20177.24111
366	20150.90632
367	20138.77839
368	20113.2706
369	20107.92957
370	20094.60747
371	20078.51402
372	20046.89927
373	20034.53045
374	20032.13038
375	20021.78645
376	20004.64813
377	19997.93902
378	19995.55603
379	19972.35278
380	19946.61252
381	19940.2893
382	19928.20875
383	19899.20156
384	19893.21757
385	19878.44903
386	19852.3646
387	19846.46273
388	19837.84449
389	19831.61003
390	19809.95232
391	19800.61443
392	19787.83203
393	19762.5222
394	19742.04448
395	19735.67595
396	19722.03717
397	19703.63822
398	19690.74463
399	19668.9157
400	19663.26142
401	19650.67337
402	19621.67476
403	19616.84096
404	19615.93315
405	19589.18842
406	19575.71042
407	19556.89716
408	19553.56916
409	19525.75998
410	19503.57134
411	19490.86568
412	19478.95538
413	19465.93871
414	19441.35452
415	19430.06152
416	19406.66091
417	19397.56489
418	19376.15333
419	19368.25091
420	19365.80311
421	19358.41049
422	19337.74901
423	19330.5099
424	19317.68789
425	19300.77674
426	19294.5585
427	19285.20874
428	19264.76219
429	19237.98468
430	19233.34493
431	19210.60312
432	19184.12559
433	19178.33082
434	19158.15779
435	19144.09138
436	19124.41693
437	19113.6858
438	19087.72047
439	19076.40846
440	19074.91541
441	19065.44007
442	19058.85804
443	19054.13017
444	19048.03836
445	19031.84845
446	19016.64166
447	18993.34053
448	18975.20996
449	18953.98287
450	18947.72059
451	18943.52443
452	18936.55089
453	18932.65251
454	18924.80809
455	18904.81396
456	18889.6386
457	18867.44456
458	18854.08568
459	18850.4548
460	18845.00629
461	18821.33585
462	18802.91808
463	18788.81063
464	18771.50669
465	18757.79335
466	18747.36318
467	18723.68083
468	18704.98085
469	18699.26637
470	18693.90017
471	18680.60177
472	18672.80668
473	18659.23429
474	18657.9057
475	18652.88797
476	18629.89971
477	18607.23027
478	18604.95091
479	18591.81503
480	18589.53859
481	18583.62248
482	18566.25038
483	18557.18383
484	18539.16521
485	18532.5388
486	18520.01614
487	18508.98812
488	18497.16042
489	18495.8042
490	18491.5939
491	18478.84393
492	18475.06516
493	18463.66976
494	18452.80662
495	18447.43882
496	18446.15226
497	18442.59949
498	18440.23974
499	18431.50851
500	18425.40694
501	18412.17732
502	18409.55452
503	18403.85762
504	18400.2085
505	18397.64137
506	18392.66184
507	18387.74332
508	18373.58023
509	18357.29077
510	18350.54944
511	18337.11136
512	18336.59823
513	18324.37606
514	18314.74439
515	18304.10918
516	18300.37962
517	18289.13987
518	18287.76958
519	18282.02898
520	18261.5624
521	18258.60285
522	18256.57989
523	18246.45142
524	18241.95591
525	18237.75583
526	18227.08836
527	18208.75021
528	18203.53129
529	18202.31169
530	18199.23676
531	18191.63504
532	18181.37659
533	18180.18941
534	18159.30858
535	18142.80648
536	18142.33158
537	18138.67213
538	18121.22975
539	18105.28452
540	18103.97986
541	18101.88898
542	18098.95594
543	18087.59134
544	18069.77632
545	18064.83266
546	18054.49438
547	18039.2002
548	18035.7053
549	18031.00805
550	18017.71379
551	18010.39797
552	18000.58721
553	17985.59226
554	17968.12444
555	17961.51305
556	17956.53245
557	17939.47782
558	17937.35734
559	17926.75098
560	17918.22602
561	17911.16745
562	17910.22865
563	17908.78884
564	17905.46964
565	17896.68754
566	17881.35482
567	17877.37761
568	17874.45792
569	17871.45537
570	17868.57407
571	17865.71326
572	17862.14623
573	17852.11124
574	17843.7365
575	17843.42631
576	17840.35158
577	17826.90616
578	17814.22261
579	17804.63339
580	17787.56503
581	17786.02871
582	17775.16184
583	17770.92715
584	17768.01117
585	17759.15303
586	17748.17688
587	17737.76301
588	17724.12675
589	17707.49305
590	17695.89336
591	17685.67074
592	17668.328
593	17659.81243
594	17648.60598
595	17645.21386
596	17641.9463
597	17640.5957
598	17635.75236
599	17624.41225
600	17622.53803
601	17619.47108
602	17602.16094
603	17600.8233
604	17596.68873
605	17593.69345
606	17590.90996
607	17585.50534
608	17579.48188
609	17578.20471
610	17575.25182
611	17562.85645
612	17559.10788
613	17554.29849
614	17549.0699
615	17529.47648
616	17517.27712
617	17515.10903
618	17506.34999
619	17493.30584
620	17492.53797
621	17478.11191
622	17474.56803
623	17467.08686
624	17460.78032
625	17450.14501
626	17440.8084
627	17435.48587
628	17427.28184
629	17411.62802
630	17410.1609
631	17400.32031
632	17388.03809
633	17380.41546
634	17378.94227
635	17373.67356
636	17360.24632
637	17358.79279
638	17355.95075
639	17354.5535
640	17353.60317
641	17346.76379
642	17344.07414
643	17340.70601
644	17340.59894
645	17331.3985
646	17328.78417
647	17322.24192
648	17307.62013
649	17303.72772
650	17290.8081
651	17276.31767
652	17267.43639
653	17266.02088
654	17259.21613
655	17255.33994
656	17253.99653
657	17241.65185
658	17229.82426
659	17225.8572
660	17221.85316
661	17216.03935
662	17205.10779
663	17189.20324
664	17186.07986
665	17185.27821
666	17180.64432
667	17176.70031
668	17168.68801
669	17162.17176
670	17159.44054
671	17154.33871
672	17141.83272
673	17134.32986
674	17133.04589
675	17125.49872
676	17110.33416
677	17099.86275
678	17081.4256
679	17067.36834
680	17065.74416
681	17064.4439
682	17062.21304
683	17056.54084
684	17054.23807
685	17050.75536
686	17044.00404
687	17037.84319
688	17034.05534
689	17028.63753
690	17026.97563
691	17017.83819
692	17015.4266
693	17004.36994
694	17003.04975
695	16990.48203
696	16984.25974
697	16979.58457
698	16973.9336
699	16971.88175
700	16966.93792
701	16951.42937
702	16949.21647
703	16938.48375
704	16937.34454
705	16936.29225
706	16935.44645
707	16931.88914
708	16930.84977
709	16924.80316
710	16921.38664
711	16920.19974
712	16914.51044
713	16910.03164
714	16907.82818
715	16906.21214
716	16905.09011
717	16896.63464
718	16890.29501
719	16887.1872
720	16885.81929
721	16873.19275
722	16866.46714
723	16865.74353
724	16863.13015
725	16849.3875
726	16839.55847
727	16836.05693
728	16834.52876
729	16832.0935
730	16821.9349
731	16819.50918
732	16818.89892
733	16811.52887
734	16806.43259
735	16804.39513
736	16802.48333
737	16796.71203
738	16784.53824
739	16771.19373
740	16756.82492
741	16755.9694
742	16751.26335
743	16739.53059
744	16739.2929
745	16738.35374
746	16729.23116
747	16726.83839
748	16724.71242
749	16711.52039
750	16703.14131
751	16700.97177
752	16695.30906
753	16686.86612
754	16683.87345
755	16679.9929
756	16675.57811
757	16664.47722
758	16660.60745
759	16659.65486
760	16658.75535
761	16648.70594
762	16639.07736
763	16637.08804
764	16634.69631
765	16619.3438
766	16614.28661
767	16613.30525
768	16608.13392
769	16607.48598
770	16602.79091
771	16593.87837
772	16582.60088
773	16578.99812
774	16568.61365
775	16567.4519
776	16559.04815
777	16553.98456
778	16553.02215
779	16545.12735
780	16542.26101
781	16526.98979
782	16524.02433
783	16522.5765
784	16521.43171
785	16516.80546
786	16506.39128
787	16502.98957
788	16496.10004
789	16480.94222
790	16471.32963
791	16454.32287
792	16449.16666
793	16439.09692
794	16435.58831
795	16427.25989
796	16421.7798
797	16414.52463
798	16409.75818
799	16405.16449
800	16392.09087
801	16390.2841
802	16381.55152
803	16376.72893
804	16375.57631
805	16372.78854
806	16357.49636
807	16352.63143
808	16349.89434
809	16345.37288
810	16336.69302
811	16332.15849
812	16322.17921
813	16321.30184
814	16316.04572
815	16315.28029
816	16310.42448
817	16308.614
818	16303.71437
819	16300.37638
820	16289.86131
821	16281.27358
822	16272.06863
823	16267.32997
824	16262.28218
825	16259.66858
826	16259.08638
827	16254.15332
828	16249.91526
829	16246.39621
830	16236.60797
831	16229.66706
832	16223.24816
833	16221.1775
834	16220.58069
835	16204.64816
836	16202.10078
837	16197.25235
838	16192.42656
839	16184.18474
840	16170.82594
841	16161.98539
842	16161.26857
843	16154.36694
844	16152.66341
845	16139.5662
846	16135.8965
847	16130.71625
848	16125.96943
849	16113.54776
850	16111.76749
851	16101.90366
852	16084.28351
853	16083.2402
854	16080.67322
855	16069.88086
856	16053.7979
857	16045.33544
858	16040.07354
859	16031.5447
860	16018.41203
861	16005.30491
862	16001.09511
863	15993.78195
864	15983.00085
865	15967.41597
866	15966.92971
867	15954.87935
868	15954.07201
869	15951.00239
870	15949.79101
871	15945.70848
872	15945.14337
873	15927.23635
874	15922.85782
875	15913.11497
876	15911.19939
877	15910.53366
878	15895.23807
879	15890.90644
880	15886.97135
881	15872.24311
882	15868.75719
883	15868.06503
884	15867.24112
885	15865.10677
886	15864.36416
887	15854.94723
888	15852.7653
889	15852.62203
890	15849.89982
891	15847.81032
892	15839.92876
893	15838.41478
894	15828.09368
895	15818.17949
896	15803.59239
897	15802.8778
898	15797.13807
899	15792.39342
900	15785.30694
901	15783.51561
902	15776.40823
903	15774.10434
904	15773.11054
905	15764.04724
906	15762.88775
907	15760.38129
908	15757.93501
909	15743.94952
910	15741.67115
911	15733.74226
912	15727.86619
913	15709.94774
914	15706.47095
915	15702.68948
916	15701.12055
917	15700.00964
918	15698.10558
919	15683.43164
920	15670.33276
921	15666.55497
922	15662.84722
923	15660.83971
924	15660.16648
925	15658.43251
926	15654.50991
927	15653.94071
928	15652.92396
929	15651.78556
930	15643.14741
931	15639.03022
932	15625.31342
933	15618.88302
934	15618.60234
935	15618.32681
936	15617.27936
937	15606.34826
938	15602.77364
939	15593.01143
940	15592.95075
941	15592.28951
942	15591.51338
943	15590.48894
944	15589.17232
945	15579.81911
946	15578.87265
947	15576.64284
948	15567.05902
949	15553.61138
950	15551.95453
951	15548.95951
952	15548.89721
953	15546.73464
954	15544.62608
955	15538.38378
956	15533.97413
957	15532.51905
958	15531.79868
959	15527.82182
960	15518.66915
961	15497.34783
962	15494.17023
963	15487.8031
964	15481.76205
965	15481.1814
966	15473.01194
967	15470.96279
968	15470.12883
969	15461.25692
970	15458.80429
971	15449.07911
972	15442.24404
973	15426.07066
974	15425.60362
975	15422.03815
976	15412.39484
977	15409.3246
978	15408.68902
979	15408.20205
980	15395.18395
981	15384.27276
982	15381.03453
983	15379.70197
984	15374.98463
985	15374.81523
986	15372.82265
987	15372.65615
988	15371.92292
989	15371.01441
990	15367.80861
991	15365.84179
992	15364.70923
993	15359.90402
994	15355.8524
995	15352.17724
996	15344.24376
997	15335.57128
998	15333.84435
999	15332.89326
1000	15330.97426
1001	15328.67143
1002	15323.35051
1003	15310.83226
1004	15309.39098
1005	15296.73218
1006	15289.2258
1007	15286.8621
1008	15281.15198
1009	15279.84811
1010	15278.70643
1011	15278.45876
1012	15276.31843
1013	15265.94973
1014	15252.20493
1015	15244.94284
1016	15224.91038
1017	15224.70374
1018	15215.45042
1019	15215.25632
1020	15203.53456
1021	15194.69926
1022	15193.91193
1023	15184.79354
1024	15181.86141
1025	15173.01575
1026	15167.88493
1027	15155.57168
1028	15147.63851
1029	15135.95179
1030	15133.061
1031	15128.82439
1032	15126.45009
1033	15125.79793
1034	15117.29605
1035	15115.86259
1036	15112.86883
1037	15107.80284
1038	15098.88361
1039	15097.79231
1040	15097.55481
1041	15088.47881
1042	15088.34823
1043	15078.94649
1044	15077.92527
1045	15067.90627
1046	15067.36842
1047	15066.99348
1048	15059.72645
1049	15056.61189
1050	15044.12158
1051	15040.94059
1052	15033.31044
1053	15028.19778
1054	15022.63326
1055	15012.255
1056	15001.32692
1057	14998.70721
1058	14998.16271
1059	14997.45948
1060	14990.08367
1061	14981.51973
1062	14978.59773
1063	14978.12908
1064	14968.7021
1065	14968.11445
1066	14966.71751
1067	14965.84651
1068	14962.76368
1069	14956.96059
1070	14952.29192
1071	14942.56652
1072	14927.7113
1073	14926.76931
1074	14926.72127
1075	14922.86109
1076	14919.5544
1077	14918.29745
1078	14915.51809
1079	14907.65309
1080	14907.55491
1081	14907.02167
1082	14906.97674
1083	14897.34833
1084	14881.0838
1085	14880.55619
1086	14877.44583
1087	14876.87278
1088	14874.08617
1089	14873.88577
1090	14873.22773
1091	14871.31457
1092	14871.22301
1093	14857.24313
1094	14851.45883
1095	14850.82451
1096	14849.99677
1097	14846.24471
1098	14846.05074
1099	14834.95686
1100	14821.04833
1101	14817.84566
1102	14805.72414
1103	14794.49307
1104	14792.01859
1105	14788.66864
1106	14786.4024
1107	14783.18561
1108	14774.81309
1109	14774.08515
1110	14767.8057
1111	14766.83772
1112	14766.32665
1113	14752.66168
1114	14743.11944
1115	14736.69251
1116	14725.42474
1117	14708.13868
1118	14698.5406
1119	14696.66516
1120	14683.35724
1121	14682.09244
1122	14679.74567
1123	14679.61096
1124	14674.30164
1125	14667.73821
1126	14666.44528
1127	14665.60597
1128	14664.47241
1129	14663.4887
1130	14662.91207
1131	14655.88741
1132	14641.61307
1133	14640.96973
1134	14633.08258
1135	14632.90123
1136	14632.73632
1137	14631.33437
1138	14614.63121
1139	14614.4179
1140	14610.86114
1141	14609.03367
1142	14605.4311
1143	14593.12126
1144	14582.98494
1145	14574.81395
1146	14570.62566
1147	14558.81613
1148	14553.30854
1149	14552.377
1150	14539.55785
1151	14537.52546
1152	14536.74919
1153	14532.93877
1154	14528.74323
1155	14527.22804
1156	14518.60054
1157	14508.91799
1158	14508.28188
1159	14500.06752
1160	14497.26434
1161	14487.55564
1162	14486.24331
1163	14480.72848
1164	14467.71035
1165	14455.3836
1166	14444.95012
1167	14438.19797
1168	14431.98805
1169	14431.03295
1170	14421.54175
1171	14420.67575
1172	14408.2518
1173	14407.69584
1174	14407.47138
1175	14406.03211
1176	14405.51123
1177	14404.77784
1178	14399.40051
1179	14397.83976
1180	14391.4703
1181	14382.86333
1182	14377.1539
1183	14374.62186
1184	14372.096
1185	14364.75708
1186	14352.66689
1187	14352.13288
1188	14349.98479
1189	14349.52037
1190	14348.61109
1191	14342.73599
1192	14341.36132
1193	14336.89041
1194	14330.04044
1195	14323.38275
1196	14322.76311
1197	14320.18647
1198	14319.05662
1199	14309.94986
1200	14301.8799
1201	14299.44387
1202	14284.5085
1203	14283.28977
1204	14282.84866
1205	14275.89902
1206	14265.37942
1207	14264.95077
1208	14264.16788
1209	14254.45259
1210	14253.93504
1211	14242.29061
1212	14237.85849
1213	14237.18327
1214	14232.1655
1215	14220.10859
1216	14217.14688
1217	14212.86586
1218	14202.96635
1219	14200.32827
1220	14195.81197
1221	14182.43732
1222	14182.02772
1223	14173.13132
1224	14168.90752
1225	14168.2347
1226	14163.8487
1227	14163.41586
1228	14154.70799
1229	14147.45648
1230	14137.91007
1231	14135.4431
1232	14134.59143
1233	14133.39626
1234	14127.51418
1235	14117.97464
1236	14107.65317
1237	14107.02425
1238	14103.49889
1239	14100.98273
1240	14092.71776
1241	14081.46789
1242	14080.44051
1243	14073.45962
1244	14071.70225
1245	14069.57089
1246	14067.49888
1247	14058.06184
1248	14052.43139
1249	14048.33242
1250	14047.76573
1251	14043.08902
1252	14029.61457
1253	14029.32314
1254	14025.31593
1255	14020.99635
1256	14020.61
1257	14016.07004
1258	14010.23063
1259	14008.7291
1260	13999.75086
1261	13989.75647
1262	13989.34343
1263	13980.62548
1264	13979.66674
1265	13971.82015
1266	13971.32929
1267	13964.73689
1268	13963.08175
1269	13956.86948
1270	13950.47758
1271	13949.67882
1272	13941.80998
1273	13936.77119
1274	13935.26958
1275	13920.78343
1276	13915.35849
1277	13908.27522
1278	13903.15442
1279	13900.81833
1280	13899.73638
1281	13898.76266
1282	13893.67665
1283	13883.23433
1284	13878.75931
1285	13876.09541
1286	13866.08145
1287	13862.48448
1288	13858.28877
1289	13855.52324
1290	13852.86733
1291	13849.2672
1292	13846.57607
1293	13839.47741
1294	13831.19249
1295	13825.53463
1296	13815.868
1297	13810.29072
1298	13806.05454
1299	13805.45065
1300	13804.95963
1301	13799.91452
1302	13799.0219
1303	13795.44783
1304	13794.93246
1305	13790.77265
1306	13788.24023
1307	13783.60685
1308	13776.7488
1309	13775.11734
1310	13774.53346
1311	13769.97445
1312	13765.64879
1313	13765.0032
1314	13757.05451
1315	13756.4786
1316	13755.94339
1317	13753.40988
1318	13752.67752
1319	13741.1712
1320	13738.94365
1321	13728.14734
1322	13727.62083
1323	13722.22277
1324	13718.43506
1325	13711.48732
1326	13706.87683
1327	13693.28179
1328	13687.86819
1329	13675.24044
1330	13674.47684
1331	13670.97882
1332	13670.12096
1333	13665.5099
1334	13664.76028
1335	13658.28886
1336	13649.17213
1337	13644.24539
1338	13640.18353
1339	13636.30117
1340	13627.12331
1341	13623.15403
1342	13616.98917
1343	13612.5911
1344	13605.73865
1345	13602.97556
1346	13596.63465
1347	13590.76415
1348	13587.65033
1349	13580.63561
1350	13575.52926
1351	13574.22858
1352	13571.169
1353	13556.41165
1354	13554.14432
1355	13541.71844
1356	13534.18675
1357	13530.63133
1358	13528.03739
1359	13517.83643
1360	13506.74806
1361	13502.06321
1362	13499.2192
1363	13499.08044
1364	13491.9245
1365	13484.42206
1366	13473.57088
1367	13464.52817
1368	13463.34594
1369	13462.58164
1370	13458.69272
1371	13458.38201
1372	13453.35719
1373	13444.39903
1374	13440.90103
1375	13430.80218
1376	13424.09632
1377	13414.57288
1378	13408.08178
1379	13406.46906
1380	13403.02182
1381	13402.34031
1382	13398.51728
1383	13388.91134
1384	13383.98317
1385	13383.37341
1386	13382.90444
1387	13380.89133
1388	13378.959
1389	13376.9033
1390	13374.44588
1391	13364.98632
1392	13353.5422
1393	13344.77866
1394	13338.1451
1395	13337.93051
1396	13337.10408
1397	13332.10764
1398	13328.72494
1399	13328.1188
1400	13327.64519
1401	13315.04058
1402	13313.09287
1403	13309.21257
1404	13303.39802
1405	13296.07278
1406	13286.18005
1407	13283.07311
1408	13269.56088
1409	13268.87257
1410	13268.19764
1411	13265.62301
1412	13263.26683
1413	13262.80282
1414	13259.27449
1415	13256.50053
1416	13251.50311
1417	13245.25558
1418	13244.11879
1419	13238.45501
1420	13237.84509
1421	13237.39271
1422	13236.92772
1423	13234.89767
1424	13232.54171
1425	13229.53884
1426	13228.74031
1427	13227.70534
1428	13226.6611
1429	13219.47997
1430	13214.98973
1431	13214.77935
1432	13212.12258
1433	13206.38423
1434	13195.67931
1435	13193.62034
1436	13184.80684
1437	13184.66881
1438	13184.10579
1439	13183.4125
1440	13182.8472
1441	13175.07199
1442	13173.81707
1443	13167.26663
1444	13159.13759
1445	13155.28185
1446	13153.57025
1447	13146.94782
1448	13142.63744
1449	13141.77361
1450	13141.64174
1451	13141.51318
1452	13134.22095
1453	13133.12573
1454	13129.44359
1455	13124.2543
1456	13123.81975
1457	13123.26752
1458	13119.04353
1459	13114.3456
1460	13111.9076
1461	13110.50741
1462	13109.63404
1463	13109.50644
1464	13108.44262
1465	13108.31938
1466	13107.67618
1467	13095.54465
1468	13094.39487
1469	13093.96773
1470	13093.95413
1471	13093.38061
1472	13092.78602
1473	13082.0392
1474	13079.34388
1475	13078.24605
1476	13077.82127
1477	13075.93938
1478	13074.37679
1479	13073.43328
1480	13068.37803
1481	13067.96491
1482	13065.14189
1483	13058.10625
1484	13056.0036
1485	13050.12271
1486	13049.8518
1487	13048.99859
1488	13037.47841
1489	13033.48876
1490	13030.4491
1491	13030.33064
1492	13028.79104
1493	13022.06694
1494	13021.2693
1495	13020.20799
1496	13013.95548
1497	13005.58216
1498	12998.31089
1499	12997.5539
1500	12994.15154
1501	12986.76819
1502	12986.44265
1503	12983.70668
1504	12983.09337
1505	12975.74258
1506	12975.27847
1507	12965.70694
1508	12965.06033
1509	12964.53304
1510	12964.41327
1511	12963.75854
1512	12963.35659
1513	12959.93813
1514	12949.17042
1515	12941.86227
1516	12941.1376
1517	12941.07226
1518	12940.31768
1519	12939.86833
1520	12939.4627
1521	12936.88051
1522	12934.11232
1523	12927.05927
1524	12919.45846
1525	12917.18132
1526	12911.64575
1527	12911.44097
1528	12910.99567
1529	12910.70831
1530	12910.19014
1531	12906.7568
1532	12903.75104
1533	12891.52259
1534	12891.11327
1535	12887.35115
1536	12887.21147
1537	12885.53619
1538	12885.16012
1539	12874.26119
1540	12867.41533
1541	12861.7485
1542	12860.12018
1543	12855.68416
1544	12853.12817
1545	12842.47559
1546	12840.37539
1547	12839.21904
1548	12836.56387
1549	12827.38791
1550	12824.52492
1551	12818.09966
1552	12817.7302
1553	12815.7418
1554	12814.61108
1555	12808.80654
1556	12808.27968
1557	12800.62156
1558	12799.52977
1559	12798.95451
1560	12790.70854
1561	12784.79178
1562	12783.27529
1563	12776.95015
1564	12775.10692
1565	12774.7299
1566	12770.76361
1567	12770.37808
1568	12758.87113
1569	12746.489
1570	12745.73592
1571	12736.06496
1572	12733.4499
1573	12731.14327
1574	12730.92242
1575	12729.86195
1576	12727.35733
1577	12723.07191
1578	12722.31503
1579	12709.21431
1580	12699.9547
1581	12697.70716
1582	12693.22689
1583	12689.59305
1584	12688.5238
1585	12686.16725
1586	12685.13754
1587	12679.43463
1588	12673.77207
1589	12671.43858
1590	12670.22434
1591	12662.79517
1592	12662.06227
1593	12660.76362
1594	12660.51548
1595	12659.68861
1596	12658.27615
1597	12657.94941
1598	12653.1343
1599	12643.3698
1600	12640.13589
1601	12632.19167
1602	12628.31994
1603	12626.83263
1604	12625.79788
1605	12624.58254
1606	12613.80244
1607	12610.07093
1608	12603.83956
1609	12602.87536
1610	12601.63399
1611	12591.10755
1612	12583.32727
1613	12582.96503
1614	12576.56023
1615	12564.00234
1616	12559.08859
1617	12558.73091
1618	12556.28691
1619	12553.34011
1620	12545.86124
1621	12544.98554
1622	12544.49117
1623	12542.16528
1624	12541.9157
1625	12540.26739
1626	12539.81098
1627	12535.79948
1628	12528.64138
1629	12524.68472
1630	12515.75806
1631	12509.86033
1632	12508.6729
1633	12507.15376
1634	12495.12918
1635	12491.97198
1636	12491.3158
1637	12487.95383
1638	12485.5718
1639	12475.47655
1640	12472.52371
1641	12471.83059
1642	12461.77467
1643	12453.90074
1644	12447.75425
1645	12446.07708
1646	12443.45093
1647	12442.52032
1648	12440.01919
1649	12431.87332
1650	12431.41398
1651	12430.94832
1652	12429.79457
1653	12419.45545
1654	12419.12143
1655	12416.1604
1656	12407.84819
1657	12406.57709
1658	12401.48451
1659	12398.10505
1660	12395.28279
1661	12387.39757
1662	12382.39726
1663	12380.01954
1664	12379.44137
1665	12375.38562
1666	12373.94672
